station_name,monsoon_zone
Agartala,SW_Monsoon
Agatti / Kavaratti,SW_Monsoon
Agra,SW_Monsoon
Agumbe,SW_Monsoon
Ahmadabad,SW_Monsoon
Ahmadnagar,SW_Monsoon
Aijal,SW_Monsoon
Ajmer,SW_Monsoon
Akola,SW_Monsoon
Alapuzha,SW_Monsoon
Alibag,SW_Monsoon
Aligarh,SW_Monsoon
Allahabad / Bamhrauli,SW_Monsoon
Alwar,SW_Monsoon
Ambala,SW_Monsoon
Ambala / Amb?la,SW_Monsoon
Ambikapur,SW_Monsoon
Amini Divi,SW_Monsoon
Amraoti,SW_Monsoon
Amreli,SW_Monsoon
Amritsar,SW_Monsoon
Anantapur,SW_Monsoon
Angul,SW_Monsoon
Arogyavaram,SW_Monsoon
Atiramapattinam,SW_Monsoon
Aurangabad,SW_Monsoon
Aurangabad Chikalthan Aerodrome,SW_Monsoon
Bagalkote / Mangoli,SW_Monsoon
Bagati,SW_Monsoon
Bahraich,SW_Monsoon
Balasore,SW_Monsoon
Balurghat,SW_Monsoon
Banda,SW_Monsoon
Bangalore,SW_Monsoon
Bangalore / Bengaluru / Devenahalli / BIAL 2 Wheeler Parking,SW_Monsoon
Bangalore / Hindustan Airport,SW_Monsoon
Banihal,SW_Monsoon
Bankura,SW_Monsoon
Bapatla,SW_Monsoon
Baramati,SW_Monsoon
Barapani / Bara Pani,SW_Monsoon
Bareilly,SW_Monsoon
Baripada,SW_Monsoon
Barmer,SW_Monsoon
Baroda / Vadodara,SW_Monsoon
Baroda Aerodrome,SW_Monsoon
Belgaum,SW_Monsoon
Belgaum / Sambra,SW_Monsoon
Bellary,SW_Monsoon
Berhampore,SW_Monsoon
Betul,SW_Monsoon
Bhagalpur,SW_Monsoon
Bhatinda,SW_Monsoon
Bhaunagar,SW_Monsoon
Bhawanipatna,SW_Monsoon
Bhilwara,SW_Monsoon
Bhopal / Bairagarh,SW_Monsoon
Bhubaneswar,SW_Monsoon
Bhuj-Rudramata,SW_Monsoon
Bhuntar,SW_Monsoon
Bidar Airport,SW_Monsoon
Bijapur,SW_Monsoon
Bikaner,SW_Monsoon
Bilaspur,SW_Monsoon
Bombay / Colaba,SW_Monsoon
Bombay / Juhu,SW_Monsoon
Bombay / Santacruz,SW_Monsoon
Bramhapuri,SW_Monsoon
Buldana,SW_Monsoon
Bulsar,SW_Monsoon
Bundi,SW_Monsoon
Burdwan,SW_Monsoon
Calcutta / Alipore,SW_Monsoon
Calcutta / Dum Dum,SW_Monsoon
Calicut / Kondotti,SW_Monsoon
Canning,SW_Monsoon
Cannur,SW_Monsoon
Car Nicobar,SW_Monsoon
Chamarajnagar / Chamrajnagar,SW_Monsoon
Chandbali,SW_Monsoon
Chandigarh / S?rajpur,SW_Monsoon
Chandrapur,SW_Monsoon
Chaparmukh,SW_Monsoon
Chapra,SW_Monsoon
Cherrapunji,SW_Monsoon
Chhindwara,SW_Monsoon
Chickmagalur,SW_Monsoon
Chikkanahalli / Sadali,SW_Monsoon
Chintamani / Sugut?ru,SW_Monsoon
Chitradurga,SW_Monsoon
Chittorgarh,SW_Monsoon
Churu,SW_Monsoon
Cochin / K?ladi,SW_Monsoon
Cochin / Willingdon,SW_Monsoon
Cochin Int. Airport / K?ladi,SW_Monsoon
Coimbatore,SW_Monsoon
Coimbatore / Peelamedu,SW_Monsoon
Contai,SW_Monsoon
Cooch Behar,SW_Monsoon
Coonoor,SW_Monsoon
Cuddalore,NE_Monsoon
Cuddapah,SW_Monsoon
Cuttack,SW_Monsoon
Cwc Vishakhapatnam / Waltair,SW_Monsoon
Dahanu,SW_Monsoon
Daltonganj,SW_Monsoon
Daman,SW_Monsoon
Daman / Dam?n,SW_Monsoon
Damoh,SW_Monsoon
Darbhanga,SW_Monsoon
Darjeeling,SW_Monsoon
Datia,SW_Monsoon
Davangere / SM Krishna Ext.,SW_Monsoon
Deesa,SW_Monsoon
Dehradun,SW_Monsoon
Dehradun / R?ni Pokhri,SW_Monsoon
Dehri,SW_Monsoon
Dhar,SW_Monsoon
Dharmapuri,SW_Monsoon
Dharmpur,SW_Monsoon
Dharmsala,SW_Monsoon
Dharwad,SW_Monsoon
Dhubri,SW_Monsoon
Dhubri Rupsi,SW_Monsoon
Diamond Harbour,SW_Monsoon
Dibrugarh / Mohanbari,SW_Monsoon
Digha,SW_Monsoon
Diu,SW_Monsoon
Durg,SW_Monsoon
Dwarka,SW_Monsoon
Erinpura / Jawai Dam Site,SW_Monsoon
Forbesganj,SW_Monsoon
Fort Cochin,SW_Monsoon
Fursatganj / R?e Bareli,SW_Monsoon
Gadag,SW_Monsoon
Gandhinagar,SW_Monsoon
Ganganagar,SW_Monsoon
Gangtok,SW_Monsoon
Gauhati,SW_Monsoon
Gaya,SW_Monsoon
Ghazipur,SW_Monsoon
Goa / Dabolim Airport,SW_Monsoon
Goa / Panjim,SW_Monsoon
Goalpara,SW_Monsoon
Golaghat,SW_Monsoon
Gondia,SW_Monsoon
Gopalpur,SW_Monsoon
Gorakhpur,SW_Monsoon
Gulbarga,SW_Monsoon
Gulmarg,SW_Monsoon
Guna,SW_Monsoon
Gwalior,SW_Monsoon
Haflong,SW_Monsoon
Hamirpur,SW_Monsoon
Hanamkonda,SW_Monsoon
Hardoi,SW_Monsoon
Harnai,SW_Monsoon
Hassan,SW_Monsoon
Haveri / H?veri,SW_Monsoon
Hissar,SW_Monsoon
Honavar,SW_Monsoon
Hoshangabad,SW_Monsoon
Hut Bay,SW_Monsoon
Hyderabad / Anthredigudam,SW_Monsoon
Hyderabad Airport,SW_Monsoon
Imphal Tulihal,SW_Monsoon
Indore,SW_Monsoon
Jabalpur,SW_Monsoon
Jagdalpur,SW_Monsoon
Jaipur / Sanganer,SW_Monsoon
Jaisalmer,SW_Monsoon
Jalgaon,SW_Monsoon
Jalna / Badnapur,SW_Monsoon
Jalpaiguri,SW_Monsoon
Jammu,SW_Monsoon
Jammu / R?mb?gh,SW_Monsoon
Jamnagar,SW_Monsoon
Jamshedpur,SW_Monsoon
Jeur,SW_Monsoon
Jhansi,SW_Monsoon
Jharsuguda,SW_Monsoon
Jindal Vijaynagar,SW_Monsoon
Jodhpur,SW_Monsoon
Jorhat / Lengrabhita,SW_Monsoon
K. Paramathy,SW_Monsoon
Kailashahar,SW_Monsoon
Kakinada,SW_Monsoon
Kalimpong,SW_Monsoon
Kalingapatam,SW_Monsoon
Kandla Aerodrome,SW_Monsoon
Kangra / Chari,SW_Monsoon
Kanniyakumari,SW_Monsoon
Kanpur,SW_Monsoon
Kanpur / Chakeri,SW_Monsoon
Karaikal,NE_Monsoon
Karnal,SW_Monsoon
Karwar,SW_Monsoon
Kavali,SW_Monsoon
Keongjhargarh,SW_Monsoon
Keshod,SW_Monsoon
Khajuraho,SW_Monsoon
Khammam,SW_Monsoon
Khandwa,SW_Monsoon
Khargone,SW_Monsoon
Kodaikanal,SW_Monsoon
Kohima,SW_Monsoon
Kolhapur,SW_Monsoon
Koppal,SW_Monsoon
Koraput,SW_Monsoon
Kota Aerodrome,SW_Monsoon
Kothagudem,SW_Monsoon
Kottayam,SW_Monsoon
Kovilangulam / Aruppukkottai,SW_Monsoon
Kozhikode,SW_Monsoon
Krishnanagar,SW_Monsoon
Kurnool,SW_Monsoon
Lengpui / Hmunpui,SW_Monsoon
Long Island,SW_Monsoon
Lucknow,SW_Monsoon
Lucknow / Amausi,SW_Monsoon
Ludhiana,SW_Monsoon
Ludhiana / Dor?ha,SW_Monsoon
Lumding,SW_Monsoon
M. O. Ranchi,SW_Monsoon
M.O. Agathi Airport / Kavaratti,SW_Monsoon
M.O. Karipur Airport / Kondotti,SW_Monsoon
M.O. Pondicherry / Puducherry,NE_Monsoon
Machilipatnam,SW_Monsoon
Madikeri,SW_Monsoon
Madras,NE_Monsoon
Madras / Minambakkam,NE_Monsoon
Madurai,SW_Monsoon
Mahabaleshwar,SW_Monsoon
Mahabubnagar,SW_Monsoon
Mahuva,SW_Monsoon
Majbat,SW_Monsoon
Malanjkhand,SW_Monsoon
Malda,SW_Monsoon
Malegaon,SW_Monsoon
Mana / Raipur,SW_Monsoon
Manali,SW_Monsoon
Mandi,SW_Monsoon
Mandla,SW_Monsoon
Mandya,SW_Monsoon
Mangalore / Bajpe,SW_Monsoon
Mangalore / Panambur,SW_Monsoon
Manipur Road / R?jb?ri,SW_Monsoon
Matheran,SW_Monsoon
Maya Bandar,SW_Monsoon
Medak,SW_Monsoon
Meerut,SW_Monsoon
Midnapore,SW_Monsoon
Minicoy,SW_Monsoon
Moradabad,SW_Monsoon
Mormugao,SW_Monsoon
Mount Abu,SW_Monsoon
Mukteshwar Kumaon,SW_Monsoon
Muzaffarpur,SW_Monsoon
Mysore,SW_Monsoon
Nagappattinam,SW_Monsoon
Nagpur Mayo Hospital,SW_Monsoon
Nagpur Sonegaon,SW_Monsoon
Nainital,SW_Monsoon
Najibabad,SW_Monsoon
Nalgonda,SW_Monsoon
Naliya,SW_Monsoon
Nancowry,SW_Monsoon
Nanded,SW_Monsoon
Nandigama,SW_Monsoon
Nandyal,SW_Monsoon
Narnaul,SW_Monsoon
Narsapur,SW_Monsoon
Narsinghpur,SW_Monsoon
Nasik,SW_Monsoon
Nasik Ozar,SW_Monsoon
Nautanwa,SW_Monsoon
Nellore,NE_Monsoon
New Delhi / Palam,SW_Monsoon
New Delhi / Safdarjung,SW_Monsoon
New Kandla,SW_Monsoon
Nilambur,SW_Monsoon
Nizamabad,SW_Monsoon
