station_name,state,district,latitude,longitude
Gulmarg,JK,Baramulla,34.05,74.4
Srinagar,JK,Srinagar,34.0833,74.8333
Qazi Gund,JK,Anantnag,33.5833,75.0833
Banihal,JK,Ramban,33.5,75.1667
Jammu,JK,Jammu,32.6667,74.8333
Pathankot / Path?nkot,PB,Pathankot,32.2338,75.6346
Dharmsala,HP,Kangra,32.2667,76.3833
Manali,HP,Kullu,32.2667,77.1667
Amritsar,PB,Amritsar,31.6333,74.8667
Una,HP,Una,31.4667,76.2667
Mandi,HP,Mandi,31.7167,76.9667
Sundernagar / Sundarnagar,HP,Mandi,31.5333,76.9
Bilaspur,HP,Bilaspur,31.25,76.6667
Bhuntar,HP,Kullu,31.8333,77.1667
Shimla,HP,Shimla,31.1,77.1667
Bhatinda,PB,Bathinda,30.1667,74.5833
Ludhiana,PB,Ludhiana,30.8667,75.9333
Patiala,PB,Patiala,30.3333,76.4667
Ambala,HR,Ambala,30.3833,76.7667
Ambala / Amb?la,HR,Ambala,30.4,76.7667
Chandigarh / S?rajpur,CH,Chandigarh,30.7333,76.8833
Dharmpur,HP,Solan,30.9,77.0167
Dehradun,UP,Dehradun,30.3167,78.0333
Tehri,UP,Tehri Garhwal,30.4,78.4833
Ganganagar,RJ,Ganganagar,29.9167,73.9167
Hissar,HR,Hisar,29.1667,75.7333
Karnal,HR,Karnal,29.7,77.0333
Meerut,UP,Meerut,29.0167,77.6333
Najibabad,UP,Bijnor,29.6167,78.3833
Nainital,UP,Nainital,29.4,79.4667
Mukteshwar Kumaon,UP,Nainital,29.4667,79.65
Pantnagar,UP,Udham Singh Nagar,29.0333,79.4667
Bikaner,RJ,Bikaner,28.0,73.3
Churu,RJ,Churu,28.25,74.9167
Pilani,RJ,Jhunjhunu,28.3333,75.5833
Rohtak,HR,Rohtak,28.8333,76.5833
Narnaul,HR,Mahendragarh,28.0,76.0833
New Delhi / Palam,DL,New Delhi,28.5667,77.1167
New Delhi / Safdarjung,DL,New Delhi,28.5833,77.2
Moradabad,UP,Moradabad,28.8333,78.75
Rampur,UP,Rampur,28.75,79.0
Bareilly,UP,Bareilly,28.3667,79.4
Pasighat,AR,East Siang,28.1,95.3833
Phalodi,RJ,Jodhpur,27.1333,72.3667
Sikar,RJ,Sikar,27.6167,75.1333
Alwar,RJ,Alwar,27.5,76.5833
Agra,UP,Agra,27.15,77.9667
Aligarh,UP,Aligarh,27.8833,78.0667
Shahjahanpur,UP,Shahjahanpur,27.8833,79.9
Hardoi,UP,Hardoi,27.3833,80.1667
Bahraich,UP,Bahraich,27.5667,81.6
Nautanwa,UP,Maharajganj,27.4333,83.4167
Darjeeling,WB,Darjeeling,27.05,88.2667
Kalimpong,WB,Kalimpong,27.0667,88.4667
Gangtok,SK,Gangtok,27.3333,88.6167
North Lakhimpur,AS,Lakhimpur,27.2333,94.1167
Dibrugarh / Mohanbari,AS,Dibrugarh,27.4833,95.0167
Jaisalmer,RJ,Jaisalmer,26.9,70.9167
Jodhpur,RJ,Jodhpur,26.3,73.0167
Ajmer,RJ,Ajmer,26.45,74.6167
Jaipur / Sanganer,RJ,Jaipur,26.8167,75.8
Gwalior,MP,Gwalior,26.2333,78.25
Kanpur,UP,Kanpur Nagar,26.4333,80.3667
Kanpur / Chakeri,UP,Kanpur Nagar,26.4,80.4
Lucknow,UP,Lucknow,26.8667,80.9333
Lucknow / Amausi,UP,Lucknow,26.75,80.8833
Fursatganj / R?e Bareli,UP,Rae Bareli,26.25,81.3667
Gorakhpur,UP,Gorakhpur,26.75,83.3667
Raxaul,BR,East Champaran,26.9833,84.85
Muzaffarpur,BR,Muzaffarpur,26.1167,85.4
Darbhanga,BR,Darbhanga,26.1667,85.9
Supaul,BR,Supaul,26.1333,86.5833
Forbesganj,BR,Araria,26.3,87.2667
Siliguri,WB,Jalpaiguri,26.6667,88.3667
Jalpaiguri,WB,Jalpaiguri,26.5333,88.7167
Cooch Behar,WB,Cooch Behar,26.3333,89.4667
Dhubri,AS,Dhubri,26.0167,89.9833
Dhubri Rupsi,AS,Dhubri,26.15,89.9167
Goalpara,AS,Goalpara,26.1833,90.6333
Rangia,AS,Kamrup,26.4333,91.6167
Gauhati,AS,Kamrup Metropolitan,26.1,91.5833
Majbat,AS,Udalguri,26.75,92.35
Chaparmukh,AS,Nagaon,26.2,92.5167
Tezpur,AS,Sonitpur,26.6167,92.7833
Golaghat,AS,Golaghat,26.5167,93.9833
Jorhat / Lengrabhita,AS,Jorhat,26.0667,90.1667
Barmer,RJ,Barmer,25.75,71.3833
Erinpura / Jawai Dam Site,RJ,Pali,25.0833,73.0833
Bhilwara,RJ,Bhilwara,25.35,74.6333
Bundi,RJ,Bundi,25.45,75.6333
Kota Aerodrome,RJ,Kota,25.15,75.85
Sawai Madhopur,RJ,Sawai Madhopur,25.9833,76.3667
Sheopur,MP,Sheopur,25.6667,76.6833
Shivpuri,MP,Shivpuri,25.3333,77.65
Datia,MP,Datia,25.6667,78.4667
Jhansi,UP,Jhansi,25.45,78.5833
Nowgong,MP,Chhatarpur,25.0667,79.45
Orai,UP,Jalaun,25.9833,79.5
Hamirpur,UP,Hamirpur,25.95,80.15
Banda,UP,Banda,25.4667,80.3667
Allahabad / Bamhrauli,UP,Prayagraj,25.45,81.7333
Varanasi / Babatpur,UP,Varanasi,25.45,82.8667
Ghazipur,UP,Ghazipur,25.4,83.55
Varanasi,UP,Varanasi,25.3,83.0167
Chapra,BR,Saran,25.7833,84.7333
Patna,BR,Patna,25.6,85.1
Bhagalpur,BR,Bhagalpur,25.2333,86.95
Sabaur,BR,Bhagalpur,25.2333,87.0667
Purnea,BR,Purnia,25.2667,87.4667
Malda,WB,Malda,25.0333,88.1333
Balurghat,WB,Dakshin Dinajpur,25.2167,88.7833
Barapani / Bara Pani,ML,Ri-Bhoi,25.7,91.9667
Cherrapunji,ML,East Khasi Hills,25.25,91.7333
Shillong,ML,East Khasi Hills,25.5667,91.8833
Haflong,AS,Dima Hasao,25.1667,93.0167
Lumding,AS,Hojai,25.75,93.1833
Kohima,NL,Kohima,25.6333,94.1667
Deesa,GJ,Banaskantha,24.2,72.2
Mount Abu,RJ,Sirohi,24.6,72.7167
Udaipur Dabok,RJ,Udaipur,24.6167,73.8833
Udaipur,RJ,Udaipur,24.5833,73.7
Chittorgarh,RJ,Chittorgarh,24.8833,74.6333
Rajgarh,MP,Rajgarh,24.0,76.7167
Guna,MP,Guna,24.65,77.3167
Tikamgarh,MP,Tikamgarh,24.7667,78.8333
Khajuraho,MP,Chhatarpur,24.9833,79.9167
Satna,MP,Satna,24.5667,80.8333
Rewa,MP,Rewa,24.5333,81.3
Sidhi,MP,Sidhi,24.4167,81.8667
Daltonganj,BR,Palamu,24.05,84.0667
Dehri,BR,Rohtas,24.9167,84.1833
Gaya,BR,Gaya,24.75,84.95
Berhampore,WB,Murshidabad,24.1333,88.2667
Kailashahar,TR,Unakoti,24.3167,92.0
Silchar,AS,Cachar,24.75,92.8
Imphal Tulihal,MN,Imphal West,24.7667,93.9
Naliya,GJ,Kachchh,23.25,68.85
Bhuj-Rudramata,GJ,Kachchh,23.25,69.6667
Kandla Aerodrome,GJ,Kachchh,23.15,70.1167
New Kandla,GJ,Kachchh,23.0,70.2167
Ahmadabad,GJ,Ahmedabad,23.0667,72.6333
Gandhinagar,GJ,Gandhinagar,23.2333,72.7167
Ratlam,MP,Ratlam,23.3167,75.05
Ujjain,MP,Ujjain,23.1833,75.7833
Shajapur,MP,Shajapur,23.4333,76.3167
Bhopal / Bairagarh,MP,Bhopal,23.2833,77.35
Vidisha,MP,Vidisha,23.5333,77.8167
Sagar,MP,Sagar,23.85,78.75
Raisen,MP,Raisen,23.3167,77.8333
Damoh,MP,Damoh,23.8333,79.45
Jabalpur,MP,Jabalpur,23.2,79.95
